report_date,ADANIENT,ADANIPORTS,AMBUJACEM,APOLLOHOSP,ASIANPAINT,AUROPHARMA,AXISBANK,BAJAJ-AUTO,BAJAJFINSV,BAJFINANCE,BEL,BHARTIARTL,CIPLA,COALINDIA,DIVISLAB,DRREDDY,EICHERMOT,GAIL,GRASIM,HCLTECH,HDFCBANK,HDFCLIFE,HINDALCO,HINDPETRO,HINDUNILVR,ICICIBANK,INDUSINDBK,INFY,IOC,ITC,JIOFIN,JSWSTEEL,KOTAKBANK,LT,LUPIN,M&M,MARUTI,NESTLEIND,NTPC,ONGC,POWERGRID,RELIANCE,SBIN,SHREECEM,SUNPHARMA,TATACONSUM,TATASTEEL,TCS,TECHM,TITAN,TMPV,ULTRACEMCO,UPL,WIPRO
03-07-19,1099810083,2070951761,1985645229,139125159,959197790,585915609,2619519511,289367020,159136111,579894198,2436592943,5130991182,805828425,6162728327,265468580,166113840,27288952,4552004996,657609040,1356278868,2732812271,2017489149,2245845916,1523822625,2164801037,6452596296,603138942,4295042444,9414158922,,,2417220440,1909336730,1403091278,452590752,1243192544,302080060,96415716,9894557280,12580279206,5231589648,6339038430,8924611534,34837225,2399334970,631129729,1204126385,3752384706,964352304,887786160,2887348694,274649850,764014005,6035359575
06-07-19,1099810083,2070951761,1985645229,139125159,959197790,585915609,2619519511,289367020,159136111,579894198,2436592943,5130991182,805828425,6162728327,265468580,166113840,27288952,4552004996,657609040,1356278868,2732812271,2017489149,2245845916,1523822625,2164801037,6452596296,692756723,4295042444,9414158922,,,2417220440,1909336730,1403091278,452590752,1243192544,302080060,96415716,9894557280,12580279206,5231589648,6339038430,8924611534,34837225,2399334970,631129729,1204126385,3752384706,964352304,887786160,2887348694,274649850,764014005,6035359575
04-09-19,1099810083,2070951761,1985645229,139125159,959197790,585915609,2619519511,289367020,159136111,579894198,2436592943,5130991182,805828425,6162728327,265468580,166113840,27288952,4552004996,657609040,1356278868,2732812271,2017489149,2245845916,1523822625,2164801037,6452596296,692756723,4258412178,9414158922,,,2417220440,1909336730,1403091278,452590752,1243192544,302080060,96415716,9894557280,12580279206,5231589648,6339038430,8924611534,34837225,2399334970,631129729,1204126385,3752384706,964352304,887786160,2887348694,274649850,764014005,6035359575
09-09-19,1099810083,2070951761,1985645229,139125159,959197790,585915609,2619519511,289367020,159136111,579894198,2436592943,5130991182,805828425,6162728327,265468580,166113840,27288952,4552004996,657609040,1356278868,2732812271,2017489149,2245845916,1523822625,2164801037,6452596296,692756723,4258412178,9414158922,,,2417220440,1909336730,1403091278,452590752,1243192544,302080060,96415716,9894557280,12580279206,5231589648,6339038430,8924611534,34837225,2399334970,631129729,1204126385,3752384706,964352304,887786160,2887348694,274649850,764014005,5712282652
26-09-19,1099810083,2070951761,1985645229,139125159,959197790,585915609,2819004453,289367020,159136111,579894198,2436592943,5130991182,805828425,6162728327,265468580,166113840,27288952,4552004996,657609040,1356278868,2732812271,2017489149,2245845916,1523822625,2164801037,6452596296,692756723,4258412178,9414158922,,,2417220440,1909336730,1403091278,452590752,1243192544,302080060,96415716,9894557280,12580279206,5231589648,6339038430,8924611534,34837225,2399334970,631129729,1204126385,3752384706,964352304,887786160,2887348694,274649850,764014005,5712282652
30-09-19,1099810083,2031751761,1985645229,139125159,959197790,585938609,2819155633,289367020,159137290,579894198,2436592943,5131961850,806077497,6162728327,265468580,166145748,27289722,4510141866,657672734,1356401188,5470763894,2017672019,2245924242,1523822625,2164812057,6459674956,692982757,4258412178,9414158922,,,2417220440,1910028300,1403265582,452647548,1243192544,302080060,96415716,9894557280,12580279206,5231589648,6339123229,8924611534,34837225,2399334970,631129729,1204126385,3752384706,964844109,887786160,2887348694,274650508,764022956,5712906868
16-10-19,1099810083,2031751761,1985645229,139125159,959197790,585938609,2819155633,289367020,159137290,579894198,2436592943,5131961850,806077497,6162728327,265468580,166145748,27289722,4510141866,657672734,1356401188,5470763894,2017672019,2245924242,1523822625,2164812057,6459674956,692982757,4258412178,9414158922,,,2417220440,1910028300,1403265582,452647548,1243192544,302080060,96415716,9894557280,12580279206,5231589648,6339123229,8924611534,34837225,2399334970,631129729,1204126385,3752384706,964844109,887786160,2887348694,288613666,764022956,5712906868
07-11-19,1099810083,2031751761,1985645229,139125159,959197790,585938609,2819155633,289367020,159137290,601689069,2436592943,5131961850,806077497,6162728327,265468580,166145748,27289722,4510141866,657672734,1356401188,5470763894,2017672019,2245924242,1523822625,2164812057,6459674956,692982757,4258412178,9414158922,,,2417220440,1910028300,1403265582,452647548,1243192544,302080060,96415716,9894557280,12580279206,5231589648,6339123229,8924611534,34837225,2399334970,631129729,1204126385,3752384706,964844109,887786160,2887348694,288613666,764022956,5712906868
23-11-19,1099810083,2031751761,1985645229,139125159,959197790,585938609,2819155633,289367020,159137290,601689069,2436592943,5131961850,806077497,6162728327,265468580,166145748,27289722,4510141866,657672734,1356401188,5470763894,2017672019,2245924242,1523822625,2164812057,6459674956,692982757,4258412178,9414158922,,,2417220440,1910028300,1403265582,452647548,1243192544,302080060,96415716,9894557280,12580279206,5231589648,6339123229,8924611534,36080748,2399334970,631129729,1204126385,3752384706,964844109,887786160,2887348694,288613666,764022956,5712906868
10-12-19,1099810083,2031751761,1985645229,139125159,959197790,585938609,2819155633,289367020,159137290,601689069,2436592943,5131961850,806077497,6162728327,265468580,166145748,27289722,4510141866,657672734,2713665096,5470763894,2017672019,2245924242,1523822625,2164812057,6459674956,692982757,4258412178,9414158922,,,2417220440,1910028300,1403265582,452647548,1243192544,302080060,96415716,9894557280,12580279206,5231589648,6339123229,8924611534,36080748,2399334970,631129729,1204126385,3752384706,964844109,887786160,2887348694,288613666,764022956,5712906868
