,0
2018-04-02,1000.0
2018-04-03,1004.8274534472781
2018-04-04,992.7187054723507
2018-04-05,1012.9884765657247
2018-04-06,1012.8541278982666
2018-04-09,1017.5683862370233
2018-04-10,1024.215914700011
2018-04-11,1026.1005231606832
2018-04-12,1028.294529923239
2018-04-13,1029.562775605532
2018-04-16,1034.1687652921757
2018-04-17,1035.322863613801
2018-04-18,1032.6431495169204
2018-04-19,1038.0919063329065
2018-04-20,1038.8406502318483
2018-04-23,1042.8804753755505
2018-04-24,1045.4027044090012
2018-04-25,1044.2497510828518
2018-04-26,1049.263830756152
2018-04-27,1053.614036731171
2018-04-30,1058.1605458583165
2018-05-02,1049.2113585515233
2018-05-03,1043.5608360271194
2018-05-04,1037.6832982899293
2018-05-07,1048.2090416606738
2018-05-08,1050.8844271234946
2018-05-09,1051.7542770378318
2018-05-10,1050.8676078685237
2018-05-11,1056.7289638055404
2018-05-14,1055.7542321280657
2018-05-15,1053.7031455071526
2018-05-16,1048.790382848803
2018-05-17,1044.5549910730826
2018-05-18,1034.8274884429084
2018-05-21,1028.0168229375067
2018-05-22,1030.3936991466403
2018-05-23,1023.6344838062255
2018-05-24,1032.0095927680477
2018-05-25,1042.4119129169462
2018-05-28,1051.4621104273942
2018-05-29,1046.4761241025753
2018-05-30,1045.7899721169522
2018-05-31,1054.5601377657242
2018-06-01,1049.2361331884788
2018-06-04,1042.1609161779882
2018-06-05,1036.280139594887
2018-06-06,1046.225334396155
2018-06-07,1054.8347437243451
2018-06-08,1057.3506501903053
2018-06-11,1062.1250040367945
2018-06-12,1068.71211138979
2018-06-13,1070.7926962565907
2018-06-14,1065.2017256658783
2018-06-15,1064.4026292407589
2018-06-18,1062.0798505045848
2018-06-19,1051.1139352735531
2018-06-20,1054.524310425894
2018-06-21,1049.8143775889237
2018-06-22,1056.1204947757485
2018-06-25,1049.6622730196973
2018-06-26,1053.188572484619
2018-06-27,1042.6667289154032
2018-06-28,1033.3266710384623
2018-06-29,1046.6153778267271
2018-07-02,1046.6153778267271
2018-07-03,1052.5035990313465
2018-07-04,1056.4157416437445
2018-07-05,1056.5059355165508
2018-07-06,1059.6564723433687
2018-07-09,1066.9513935830805
2018-07-10,1073.3976737876021
2018-07-11,1077.6225395466236
