,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,2023-12-31,2024-03-31,2024-06-30,2024-09-30,2024-12-31,2025-03-31,2025-06-30,2025-09-30,2025-12-31
ADANIENT,,,,,,,,,,,,,0.017930084232185412,0.024376314662578186,0.021151438752165495,0.024439514582067858,0.028679475452450177,0.03518268969863201,0.0488940856657564,0.05171618515156387,0.024862398982777482,0.03072486242898646,0.029839775331855518,0.03202692978140101,0.03443868609355312,0.032213439014780514,0.029230572273032097,0.023826304883514986,,,,
ADANIPORTS,,,,,,,,,,,,,0.021957231006887543,,,,,0.01958379146468458,,,,,,,0.027164434312601883,,,,,,,
ASIANPAINT,0.03324933707588955,0.03174755840885755,0.030020417075504457,0.0326765278301446,0.033333249157297344,0.028580737550787754,0.03570994218973455,0.033989542874186145,0.04104375565860277,0.03511425737307236,0.03726942404758586,0.04250338602336175,0.03698226853054313,0.04076132212763526,0.03935072796128639,0.04076101191138979,0.03694935417814562,0.03539310330418137,0.03865587198778676,0.03388058344915202,0.03210884873632761,0.0356447905917244,0.03218370903967898,0.031557440699068746,,,,,,,,
AXISBANK,0.04296186953660417,0.03619843691281392,0.04019608404661808,0.04157125890465044,0.0490179583507732,0.04860952455447654,0.04273287329424064,0.044132940763522026,0.02859240008738793,0.02592364651239143,0.026444736320669977,0.03162702792596678,0.03372765963355801,0.03366666195457482,0.03072272286324884,0.026995841667204312,0.030171322383550664,0.027487437213625558,0.02792304878569179,0.03371741327957365,0.03287001956829269,0.034279565162693634,0.0346189689195496,0.0334991012097588,0.03051981274357304,0.03473597849130848,0.031154772378929777,0.02689410585574652,0.02819426427197877,0.02804735831826936,0.027497483503033174,0.028319125198171657
BAJAJFINSV,,,,,,,,,,,,,,,,,,,0.03317084190611841,0.028981018550470136,0.025128029309095284,0.02747632526974379,0.02664205208539573,,,,,,0.02648389166906408,0.0247966120703025,0.025106068579535897,0.02426317256908606
BAJFINANCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04392808613803104,0.04867666768418275,0.046586272911004825
BHARTIARTL,0.04541286775081927,0.0366345365395258,0.030216813708869056,0.028765790856245674,0.028417173947819382,0.03923316921781295,0.04001199391762161,0.046602545957807516,0.06173226209056603,0.06622997999295661,0.045021429152987395,0.04460276664485269,0.043199725186220964,0.04081980252972566,0.048487543610205255,0.05121493343194729,0.05629885733991272,0.055591593012497664,0.05812442839973088,0.05550210315944798,0.05474585295617198,0.058241636138715996,0.05947267414227885,0.060457896050350096,0.06929955219801036,0.07709009727083262,0.08440285267390345,0.07830076273330099,0.08661057796768877,0.09167854961839542,0.08965070654207953,0.09410826659712085
BRITANNIA,,,,,,,,,,,0.017244437994953486,,,,,,,,,,,,,,,,,,,,,
COALINDIA,0.030630401847568992,0.024067831382159684,0.022410728210327784,0.021344901194402046,0.019936425728116196,0.02014539406055404,,,,,,,,,,,,,,,,,,,,,,,,,,
DIVISLAB,,,,,,,,,,,,0.016541670971040347,,,,,,,,,,,,,,,,,,,,
