symbol,report_date,total_shares
Asian Paints Limited,2025-03-31,959197790
Asian Paints Limited,2024-12-31,959197790
Asian Paints Limited,2023-03-31,959197790
Asian Paints Limited,2024-03-31,959197790
Asian Paints Limited,2023-12-31,959197790
Asian Paints Limited,2024-09-30,959197790
Asian Paints Limited,2023-09-30,959197790
Asian Paints Limited,2024-06-30,959197790
Asian Paints Limited,2022-12-31,959197790
Asian Paints Limited,2022-06-30,959197790
Asian Paints Limited,2022-03-31,959197790
Asian Paints Limited,2022-09-30,959197790
Asian Paints Limited,2021-12-31,959197790
Asian Paints Limited,2021-09-30,959197790
Asian Paints Limited,2021-06-30,959197790
Asian Paints Limited,2020-12-31,959197790
Asian Paints Limited,2021-03-31,959197790
Asian Paints Limited,2020-09-30,959197790
Asian Paints Limited,2020-06-30,959197790
Asian Paints Limited,2018-09-30,959197790
Asian Paints Limited,2019-03-31,959197790
Asian Paints Limited,2018-03-31,959197790
Asian Paints Limited,2018-06-30,959197790
Asian Paints Limited,2020-03-31,959197790
Asian Paints Limited,2018-12-31,959197790
Asian Paints Limited,2019-12-31,959197790
Asian Paints Limited,2019-09-30,959197790
Asian Paints Limited,2019-06-30,959197790
Aurobindo Pharma Limited,2025-09-30,580801623
Aurobindo Pharma Limited,2025-06-30,580801623
Aurobindo Pharma Limited,2025-03-31,580801623
Aurobindo Pharma Limited,2024-09-30,580801623
Aurobindo Pharma Limited,2023-12-31,585938609
Aurobindo Pharma Limited,2024-12-31,580801623
Aurobindo Pharma Limited,2024-06-30,585938609
Aurobindo Pharma Limited,2024-03-31,585938609
Aurobindo Pharma Limited,2023-09-30,585938609
Aurobindo Pharma Limited,2023-06-30,585938609
Aurobindo Pharma Limited,2023-03-31,585938609
Aurobindo Pharma Limited,2022-06-30,585938609
Aurobindo Pharma Limited,2022-09-30,585938609
Aurobindo Pharma Limited,2022-12-31,585938609
Aurobindo Pharma Limited,2022-03-31,585938609
Aurobindo Pharma Limited,2021-12-31,585938609
Aurobindo Pharma Limited,2021-09-30,585938609
Aurobindo Pharma Limited,2021-06-30,585938609
Aurobindo Pharma Limited,2021-03-31,585938609
Aurobindo Pharma Limited,2020-09-30,585938609
Aurobindo Pharma Limited,2020-12-31,585938609
Aurobindo Pharma Limited,2020-06-30,585938609
Aurobindo Pharma Limited,2019-12-31,585938609
Aurobindo Pharma Limited,2020-03-31,585938609
Aurobindo Pharma Limited,2019-09-30,585938609
Aurobindo Pharma Limited,2019-06-30,585915609
Aurobindo Pharma Limited,2019-03-31,585915609
Aurobindo Pharma Limited,2018-12-31,585907609
Aurobindo Pharma Limited,2018-09-30,585907609
Aurobindo Pharma Limited,2018-06-30,585907609
Axis Bank Limited,2025-06-30,3101188425
Axis Bank Limited,2025-09-30,3102879031
Axis Bank Limited,2024-12-31,3095171531
Axis Bank Limited,2024-09-30,3093254378
Axis Bank Limited,2025-03-31,3097369066
Axis Bank Limited,2024-06-30,3090246466
Axis Bank Limited,2023-12-31,3084019057
Axis Bank Limited,2024-03-31,3086570375
Axis Bank Limited,2023-09-30,3081760824
Axis Bank Limited,2023-06-30,3079738904
Axis Bank Limited,2023-03-31,3076852012
Axis Bank Limited,2022-12-31,3074956918
Axis Bank Limited,2022-09-30,3072321111
Axis Bank Limited,2022-06-30,3071432148
Axis Bank Limited,2022-03-31,3069747836
Axis Bank Limited,2021-12-31,3067661758
Axis Bank Limited,2021-09-30,3066645378
Axis Bank Limited,2021-06-30,3065268517
Axis Bank Limited,2021-03-31,3063748652
Axis Bank Limited,2020-09-30,3060161084
Axis Bank Limited,2020-12-31,3061465082
Axis Bank Limited,2020-06-30,2822022959
Axis Bank Limited,2020-03-31,2821677934
Axis Bank Limited,2020-08-11,3060066034
Axis Bank Limited,2019-12-31,2819752963
Axis Bank Limited,2019-09-26,2819004453
Axis Bank Limited,2019-09-30,2819155633
Axis Bank Limited,2019-06-30,2619519511
Axis Bank Limited,2018-09-30,2569115216
Axis Bank Limited,2019-03-31,2571644871
Axis Bank Limited,2018-12-31,2569909771
