date,ADANIENT,ADANIPORTS,AMBUJACEM,APOLLOHOSP,ASIANPAINT,AXISBANK,BAJAJ-AUTO,BAJAJFINSV,BAJAJHLDNG,BAJFINANCE,BEL,BHARTIARTL,BPCL,BRITANNIA,CIPLA,COALINDIA,DIVISLAB,DRREDDY,EICHERMOT,GAIL,GRASIM,HCLTECH,HDFCBANK,HDFCLIFE,HINDALCO,HINDPETRO,HINDUNILVR,ICICIBANK,ICICIGI,ICICIPRULI,INDIGO,INDUSINDBK,INFY,IOC,ITC,JIOFIN,JSWSTEEL,KOTAKBANK,LT,LTIM,M&M,MARUTI,MAXHEALTH,NESTLEIND,NTPC,ONGC,RELIANCE,SBILIFE,SBIN,SHREECEM,SHRIRAMFIN,SIEMENS,SUNPHARMA,TATACONSUM,TATAMOTORS,TATAPOWER,TATASTEEL,TCS,TECHM,TITAN,ULTRACEMCO,UPL,VEDL,WIPRO,YESBANK,ZEEL
2018-03-31,83.87091827392578,338.0906982421875,204.986572265625,1039.7772216796875,1052.01953125,507.7467651367188,2201.4921875,515.3868408203125,2369.3740234375,172.14755249023438,40.80947113037109,344.7865295410156,130.63157653808594,2199.024658203125,514.4362182617188,149.75843811035156,1030.7001953125,394.1768798828125,2653.50146484375,80.87545013427734,999.2230224609376,386.4365234375,440.0618896484375,445.6066284179688,203.53756713867188,164.10671997070312,1174.4144287109375,267.3658447265625,754.9414672851562,378.4237365722656,1275.91650390625,1712.6136474609375,454.7176208496094,72.02766418457031,191.5589904785156,,263.022216796875,1042.3466796875,1162.9852294921875,1207.4727783203125,686.6658325195312,8228.17578125,,371.5090637207031,104.47618103027344,115.2108383178711,389.91595458984375,666.8202514648438,230.5868682861328,15714.6328125,249.31739807128903,601.5286865234375,461.5300598144531,242.22210693359372,321.06915283203125,70.827392578125,45.87994766235352,1191.1912841796875,483.3735656738281,916.1232299804688,3811.138916015625,448.3465576171875,108.6487274169922,99.01808166503906,298.35552978515625,536.1392211914062
2018-06-30,71.4480209350586,356.2794189453125,184.10385131835935,1022.9791870117188,1192.8878173828125,508.0451049804688,2254.10888671875,580.1198120117188,2563.138671875,223.64910888671875,31.34639358520508,330.3014831542969,114.08295440673828,2749.00244140625,581.5878295898438,139.74105834960938,981.9163208007812,423.4481506347656,2673.87109375,83.7554931640625,957.3391723632812,370.3453674316406,495.0823059082031,447.27349853515625,218.6688537597656,124.47274017333984,1456.4315185546875,264.5322570800781,662.6006469726562,370.46685791015625,1076.240966796875,1848.814453125,538.0604248046875,63.62580871582031,203.3922882080078,,298.30181884765625,1335.960205078125,1131.2247314453125,1505.310791015625,834.2399291992188,8195.212890625,,446.2701416015625,98.28884887695312,102.64002990722656,432.4328002929688,664.930419921875,239.3065490722656,15091.4912109375,225.04547119140625,549.6656494140625,525.75830078125,254.498291015625,264.5369873046875,65.67222595214844,45.61481857299805,1557.8951416015625,496.0501403808594,854.0955200195312,3684.358154296875,379.9202880859375,92.36216735839844,92.0975570678711,335.0539245605469,506.7471008300781
2018-09-30,128.9351806640625,315.613037109375,198.39198303222656,1022.5130615234376,1220.1053466796875,609.9425659179688,2199.879150390625,598.7401733398438,2788.59130859375,211.5115966796875,23.246301651000977,294.68621826171875,116.58882904052734,2586.377197265625,619.85546875,140.74545288085938,1248.9561767578125,483.6214294433594,2271.048095703125,93.66121673583984,976.9083251953124,435.82904052734375,471.0379333496094,383.9796447753906,218.99717712402344,120.75105285644533,1427.367431640625,294.80389404296875,771.406982421875,327.7055969238281,822.1305541992188,1623.50634765625,600.9959716796875,63.33895492553711,227.498291015625,,351.9969482421875,1136.2379150390625,1142.9736328125,1740.1279296875,806.585693359375,6883.75244140625,,442.0581665039063,104.20442962646484,115.72040557861328,559.3900756835938,504.453857421875,244.98126220703125,16420.0546875,200.27618408203125,529.9295043945312,582.7428588867188,220.8612365722656,219.74351501464844,60.120262145996094,47.53173828125,1844.854736328125,576.9954833984375,786.649169921875,3927.801025390625,412.7447204589844,90.83715057373048,114.10941314697266,181.1648712158203,410.7893981933594
2018-12-31,158.94764709472656,372.03759765625,199.7675628662109,1234.4716796875,1298.450927734375,616.5568237304688,2226.646728515625,645.667724609375,2659.192138671875,258.0627136230469,25.46091651916504,274.281494140625,113.03646850585938,2767.270751953125,492.3398742675781,131.06344604492188,1412.590576171875,500.0278015136719,2174.606201171875,89.03993225097656,789.5599975585938,387.15423583984375,498.1934814453125,379.6162109375,215.70724487304688,121.61546325683594,1624.056640625,347.4836120605469,827.5274658203125,320.16259765625,1159.4520263671875,1536.3294677734375,548.3720703125,59.3144416809082,215.19696044921875,,282.9164428710937,1250.598388671875,1291.6295166015625,1583.181640625,753.0911865234375,6993.8759765625,,507.57464599609375,93.08763122558594,97.89215087890624,498.601806640625,589.4990234375,273.0318298339844,16754.294921875,216.62673950195312,586.97900390625,402.5203552246094,207.302490234375,169.64552307128906,70.11747741699219,42.60887908935547,1602.673828125,559.697265625,909.0993041992188,3861.046875,471.1179809570313,85.60944366455078,116.52190399169922,179.3399200439453,446.2394714355469
2019-03-31,136.04339599609375,365.8961181640625,207.22169494628903,1160.548583984375,1415.6661376953125,776.489501953125,2413.81396484375,693.078857421875,3239.3916015625,292.2771911621094,27.0673942565918,289.5973815917969,124.24129486083984,2750.527099609375,498.1209716796875,131.78489685058594,1576.3677978515625,519.2720947265625,1962.4493408203125,90.26354217529295,793.9112548828125,435.581787109375,540.7173461914062,365.9488830566406,192.9635467529297,134.572998046875,1502.898193359375,386.4627685546875,962.3613891601562,347.68963623046875,1431.587890625,1749.3963623046875,617.3655395507812,70.46295166015625,229.21743774414065,,265.8538513183594,1334.45263671875,1245.941162109375,1530.1405029296875,614.5302734375,6179.53955078125,,507.0365295410156,104.44605255126952,106.22433471679688,604.7700805664062,607.5927124023438,294.3465881347656,17787.716796875,223.3179931640625,617.1985473632812,444.5489196777344,187.9800720214844,167.53355407714844,65.32430267333984,41.40269470214844,1697.102294921875,597.2735595703125,1107.5682373046875,3781.7158203125,577.2398681640625,76.17427825927734,119.9647979736328,272.3638610839844,414.7231140136719
2019-06-30,148.5814971923828,393.6286926269531,190.23997497558597,1333.4610595703125,1291.2900390625,804.1892700195312,2314.152587890625,849.796875,3243.538818359375,359.13067626953125,32.93760681152344,331.3680725097656,126.36644744873048,2437.10595703125,524.5150146484375,141.66458129882812,1521.4893798828125,487.4052734375,1797.1640625,78.58696746826172,874.1966552734375,429.044921875,577.380126953125,457.0544738769531,197.44554138183597,147.63229370117188,1606.9825439453125,421.7273254394531,1068.3306884765625,383.45513916015625,1550.4639892578125,1354.9632568359375,621.1647338867188,68.1039810180664,213.24566650390625,,255.1090087890625,1470.1622314453125,1395.5401611328125,1673.03125,613.9682006835938,6121.83056640625,,547.9249267578125,108.75470733642578,114.29849243164062,557.2333984375,715.9732666015625,333.33135986328125,21246.125,190.02685546875,743.8659057617188,374.8909301757813,257.5909423828125,159.67503356933594,64.21756744384766,41.247318267822266,1904.9017333984373,546.8880615234375,1303.302734375,4407.55908203125,586.8551025390625,74.5913314819336,132.0907745361328,108.75,317.177001953125
2019-09-30,144.42893981933594,397.4361877441406,182.28536987304688,1374.582275390625,1675.4017333984375,682.1517944335938,2461.988525390625,848.9126586914062,3268.6982421875,395.4273681640625,32.268558502197266,350.8688049316406,154.99215698242188,2630.302490234375,405.5943298339844,111.5510711669922,1603.6319580078125,520.3743896484375,1680.4659423828125,68.26333618164062,704.9154663085938,436.2862548828125,581.3053588867188,592.0877685546875,183.7247009277344,153.56202697753906,1781.69580078125,419.4692687988281,1161.763427734375,459.1704711914063,1886.4620361328125,1336.099853515625,683.6631469726562,64.9134521484375,202.3439178466797,,215.3954925537109,1637.6085205078125,1341.7388916015625,1395.63427734375,519.7496948242188,6379.29345703125,,650.0042724609375,92.26622009277344,90.36271667480467,595.986083984375,837.3630981445312,249.8716583251953,18421.75390625,188.36480712890625,859.982421875,366.5042724609375,263.6080627441406,115.37271118164062,58.1680908203125,30.250534057617188,1799.7039794921875,564.9785766601562,1248.746337890625,4210.70849609375,567.1200561523438,65.94924926757812,112.92467498779295,41.400001525878906,251.17198181152344
2019-12-31,206.31997680664065,351.3990173339844,175.40330505371094,1420.3851318359375,1700.2183837890625,750.9644165039062,2665.52197265625,936.7008666992188,3098.90673828125,413.8693542480469,29.810426712036133,435.7062377929688,162.064208984375,2705.035888671875,455.8289489746094,117.97006225585938,1777.234375,553.5543212890625,2129.7880859375,61.43700408935547,717.9979858398438,459.5358581542969,602.4510498046875,616.6123657226562,207.53640747070312,134.62762451171875,1737.687255859375,521.2173461914062,1335.098876953125,478.6900939941406,1331.30029296875,1458.213134765625,628.25341796875,55.29093551635742,185.0958404541016,,252.95736694335935,1677.342529296875,1181.512939453125,1628.95654296875,504.9308471679688,6999.3837890625,,694.6052856445312,93.48333740234376,88.30587005615234,677.31494140625,951.3331298828124,307.9566650390625,19861.109375,206.8779296875,849.006103515625,407.0648498535156,306.92193603515625,181.8753204345703,52.58395385742188,39.61100006103516,1894.8658447265625,602.775634765625,1165.2708740234375,3924.38525390625,548.8561401367188,65.22193908691406,115.7501449584961,46.95000076293945,276.4311218261719
2020-03-31,137.256103515625,243.9412841796875,139.1607208251953,1124.0086669921875,1593.7691650390625,377.4241333007813,1768.5068359375,458.0894165039063,1655.6129150390625,217.05165100097656,22.547700881958008,421.4631042480469,110.2028350830078,2402.306884765625,407.2889099121094,85.22274780273438,1929.452392578125,600.9653930664062,1248.5645751953125,40.99251556396485,459.6770935058594,354.1865234375,408.1853637695313,434.6966857910156,91.88634490966795,96.75884246826172,2077.00146484375,313.126953125,1041.3251953125,352.92791748046875,1064.351318359375,339.2518310546875,551.219970703125,37.72761917114258,133.70196533203125,,136.99322509765625,1290.6580810546875,746.1339111328125,1329.6396484375,270.68017578125,4073.427734375,,765.7907104492188,66.53497314453125,50.30317306518555,498.239501953125,634.1561279296875,181.6367645263672,17190.5625,116.70557403564452,636.6387939453125,333.9366149902344,281.6117248535156,69.79337310791016,30.57314682006836,22.62286758422852,1616.048095703125,453.2481689453125,915.8748779296876,3147.27734375,306.5894470214844,28.615354537963867,93.0023193359375,22.450000762939453,117.26089477539062
2020-06-30,155.85948181152344,333.8297424316406,174.55575561523438,1332.0250244140625,1613.8046875,404.9591369628906,2471.326904296875,583.2030029296875,2340.899169921875,277.3143920898437,26.84827041625977,535.1692504882812,130.05947875976562,3255.30615234375,616.6885375976562,80.84143829345703,2210.617431640625,759.68212890625,1747.99462890625,54.70131301879883,598.32373046875,451.9448852539063,504.7735290527344,540.723876953125,140.37391662597656,110.32339477539062,1983.3651123046875,339.9180908203125,1219.3800048828125,422.4815368652344,987.1817626953124,458.5162963867188,640.9859008789062,39.437255859375,151.572998046875,,177.365234375,1354.7899169921875,870.8587646484375,1821.9560546875,485.125,5545.76220703125,,809.8311157226562,75.70133209228516,59.914546966552734,769.5606079101562,797.839599609375,164.65878295898438,22583.640625,121.81968688964844,627.0612182617188,448.29779052734375,372.7436828613281,96.51229858398438,41.74142456054688,27.414283752441406,1848.0618896484373,435.5350646972656,931.716552734375,3776.470947265625,399.2705383300781,47.058326721191406,103.8533706665039,25.600000381469727,161.86639404296875
