,SYMBOL,COMPANY NAME,SERIES,PURPOSE,FACE VALUE,EX-DATE,RECORD DATE,BOOK CLOSURE START DATE,BOOK CLOSURE END DATE,payout_per_s
6,BAJFINANCE,Bajaj Finance Limited,EQ,Dividend - Rs 20 Per Share,1,30-Jun-2022,01-Jul-2022,-,-,20
7,BAJFINANCE,Bajaj Finance Limited,EQ, Annual General Meeting/Dividend - Rs 10 Per Share,1,08-Jul-2021,-,10-Jul-2021,20-Jul-2021,10
8,BAJFINANCE,Bajaj Finance Limited,EQ, Interim Dividend - Rs 10 Per Share,1,03-Mar-2020,04-Mar-2020,-,-,10
9,BAJFINANCE,Bajaj Finance Limited,EQ, Annual General Meeting/ Dividend - Rs 6 Per Share,1,11-Jul-2019,-,13-Jul-2019,25-Jul-2019,6
10,BAJFINANCE,Bajaj Finance Limited,EQ, Annual General Meeting / Dividend- Rs 4 Per Share,1,05-Jul-2018,-,07-Jul-2018,19-Jul-2018,4
11,BAJFINANCE,Bajaj Finance Limited,EQ, Annual General Meeting/Dividend - Rs 3.60/- Per Share,1,06-Jul-2017,-,08-Jul-2017,19-Jul-2017,3.60
13,BAJFINANCE,Bajaj Finance Limited,EQ, Dividend Rs 7/- Per Share,1,14-Jul-2016,-,16-Jul-2016,26-Jul-2016,7
14,BAJFINANCE,Bajaj Finance Limited,EQ, Interim Dividend - Rs 18/- Per Share (Purpose Revised),1,16-Mar-2016,17-Mar-2016,-,-,18
15,BAJFINANCE,Bajaj Finance Limited,EQ,Annual General Meeting / Dividend - Rs 18/- Per Share,1,09-Jul-2015,-,11-Jul-2015,22-Jul-2015,18
16,BAJFINANCE,Bajaj Finance Limited,EQ,Annual General Meeting And Dividend Rs.16/- Per Share,1,03-Jul-2014,-,05-Jul-2014,16-Jul-2014,16
17,BAJFINANCE,Bajaj Finance Limited,EQ,Annual General Meeting And Dividend Rs.15/- Per Share,1,04-Jul-2013,-,06-Jul-2013,18-Jul-2013,15
19,BAJFINANCE,Bajaj Finance Limited,EQ,Annual General Meeting And Dividend - Rs.12/- Per Share,1,05-Jul-2012,-,07-Jul-2012,17-Jul-2012,12
0,BEL,Bharat Electronics Limited,EQ,Dividend - Rs 0.90 Per Share,1,14-Aug-2025,14-Aug-2025,-,-,0.90
1,BEL,Bharat Electronics Limited,EQ,Interim Dividend - Rs 1.5 Per Share,1,11-Mar-2025,11-Mar-2025,-,-,1.5
2,BEL,Bharat Electronics Limited,EQ,Annual General Meeting/Dividend - Re 0.80 Per Share,1,14-Aug-2024,-,16-Aug-2024,18-Aug-2024,0.80
3,BEL,Bharat Electronics Limited,EQ,Interim Dividend - Re 0.70 Per Share,1,22-Mar-2024,23-Mar-2024,-,-,0.70
4,BEL,Bharat Electronics Limited,EQ,Interim Dividend - Re 0.70 Per Share,1,09-Feb-2024,10-Feb-2024,-,-,0.70
5,BEL,Bharat Electronics Limited,EQ,Annual General Meeting/Dividend - Re 0.60 Per Share,1,17-Aug-2023,-,18-Aug-2023,20-Aug-2023,0.60
6,BEL,Bharat Electronics Limited,EQ,Interim Dividend - Rs 0.60 Per Share,1,24-Mar-2023,25-Mar-2023,-,-,0.60
7,BEL,Bharat Electronics Limited,EQ,Interim Dividend - Re 0.60 Per Share,1,10-Feb-2023,10-Feb-2023,-,-,0.60
9,BEL,Bharat Electronics Limited,EQ,Annual General Meeting/Dividend - Rs 1.50 Per Share,1,08-Aug-2022,-,11-Aug-2022,14-Aug-2022,1.50
10,BEL,Bharat Electronics Limited,EQ,Interim Dividend - Rs 1.50 Per Share,1,24-Mar-2022,26-Mar-2022,-,-,1.50
11,BEL,Bharat Electronics Limited,EQ,Interim Dividend - Rs 1.50 Per Share,1,09-Feb-2022,10-Feb-2022,-,-,1.50
12,BEL,Bharat Electronics Limited,EQ, Annual General Meeting/Dividend - Rs 1.20 Per Share,1,14-Sep-2021,-,16-Sep-2021,19-Sep-2021,1.20
13,BEL,Bharat Electronics Limited,EQ, Interim Dividend - Rs 1.40  Per Share,1,23-Mar-2021,24-Mar-2021,-,-,1.40
14,BEL,Bharat Electronics Limited,EQ, Interim Dividend - Rs 1.40 Per Share,1,08-Feb-2021,09-Feb-2021,-,-,1.40
15,BEL,Bharat Electronics Limited,EQ, Annual General Meeting/Dividend - Rs 1.40 Per Share,1,15-Sep-2020,-,17-Sep-2020,20-Sep-2020,1.40
16,BEL,Bharat Electronics Limited,EQ, Interim Dividend - Rs 1.40 Per Share,1,11-Feb-2020,12-Feb-2020,-,-,1.40
17,BEL,Bharat Electronics Limited,EQ, Annual General Meeting/Dividend - Rs 1.70 Per Share,1,20-Aug-2019,-,22-Aug-2019,24-Aug-2019,1.70
18,BEL,Bharat Electronics Limited,EQ, Interim Dividend - Re 0.70 Per Share,1,27-Mar-2019,28-Mar-2019,-,-,0.70
19,BEL,Bharat Electronics Limited,EQ, Interim Dividend - Re 0.70 Per Share,1,19-Mar-2019,20-Mar-2019,-,-,0.70
0,BHARTIARTL,Bharti Airtel Limited,EQ,Dividend - Rs 16 Per Share,5,18-Jul-2025,18-Jul-2025,-,-,16
1,BHARTIARTL,Bharti Airtel Limited,EQ,Dividend - Rs 8 Per Share,5,07-Aug-2024,07-Aug-2024,-,-,8
2,BHARTIARTL,Bharti Airtel Limited,EQ,Dividend - Rs 4 Per Share,5,11-Aug-2023,11-Aug-2023,-,-,4
3,BHARTIARTL,Bharti Airtel Limited,EQ,Dividend - Rs 3 Per Share,5,01-Aug-2022,02-Aug-2022,-,-,3
5,BHARTIARTL,Bharti Airtel Limited,EQ, Dividend - Rs 2 Per Share,5,06-Aug-2020,07-Aug-2020,-,-,2
7,BHARTIARTL,Bharti Airtel Limited,EQ, Interim Dividend Rs - 2.50 Per Share,5,05-Nov-2018,06-Nov-2018,-,-,2.50
8,BHARTIARTL,Bharti Airtel Limited,EQ, Annual General Meeting/Dividend Rs 2.50 Per Share,5,02-Aug-2018,-,04-Aug-2018,08-Aug-2018,2.50
9,BHARTIARTL,Bharti Airtel Limited,EQ, Interim Dividend - Rs 2.84 Per Share,5,30-Jan-2018,31-Jan-2018,-,-,2.84
10,BHARTIARTL,Bharti Airtel Limited,EQ, Annual General Meeting/Dividend - Re 1 Per Share,5,13-Jul-2017,-,15-Jul-2017,24-Jul-2017,1
11,BHARTIARTL,Bharti Airtel Limited,EQ, Annual General Meeting/ Dividend - Rs 1.36/- Per Share,5,11-Aug-2016,-,13-Aug-2016,19-Aug-2016,1.36
12,BHARTIARTL,Bharti Airtel Limited,EQ, Dividend - Rs 2.22/- Per Share,5,13-Aug-2015,-,15-Aug-2015,21-Aug-2015,2.22
13,BHARTIARTL,Bharti Airtel Limited,EQ,Annual General Meeting / Final Dividend - Rs 1.80/- Per Share / Interim Dividend - Rs 1.63/- Per Share (Purpose Revised),5,21-Aug-2014,-,23-Aug-2014,01-Sep-2014,1.80
14,BHARTIARTL,Bharti Airtel Limited,EQ,Annual General Meeting / Dividend Re 1 Per Share,5,23-May-2013,-,25-May-2013,31-May-2013,1
15,BHARTIARTL,Bharti Airtel Limited,EQ,Annual General Meeting / Dividend Rs 1 Per Share,5,16-Aug-2012,-,18-Aug-2012,06-Sep-2012,1
16,BHARTIARTL,Bharti Airtel Limited,EQ,Annual General Meeting And Dividend Re.1/- Per Share,5,17-Aug-2011,-,20-Aug-2011,01-Sep-2011,1
17,BHARTIARTL,Bharti Airtel Limited,EQ,Annual General Meeting And Dividend Re.1/- Per Share,5,18-Aug-2010,-,21-Aug-2010,01-Sep-2010,1
18,BHARTIARTL,Bharti Airtel Limited,EQ,Agm/Div-Rs.2/Fv Rs10tors5,5,24-Jul-2009,-,31-Jul-2009,21-Aug-2009,2
0,BPCL,Bharat Petroleum Corporation Limited,EQ,Interim Dividend - Rs 7.50 Per Share,10,07-Nov-2025,07-Nov-2025,-,-,7.50
1,BPCL,Bharat Petroleum Corporation Limited,EQ,Dividend - Rs 5 Per Share,10,31-Jul-2025,31-Jul-2025,-,-,5
2,BPCL,Bharat Petroleum Corporation Limited,EQ,Interim Dividend - Rs 5 Per Share,10,29-Jan-2025,29-Jan-2025,-,-,5
3,BPCL,Bharat Petroleum Corporation Limited,EQ,Dividend - Rs 10.5 Per Share,10,09-Aug-2024,09-Aug-2024,-,-,10.5
5,BPCL,Bharat Petroleum Corporation Limited,EQ,Interim Dividend - Rs 21 Per Share,10,12-Dec-2023,12-Dec-2023,-,-,21
6,BPCL,Bharat Petroleum Corporation Limited,EQ,Dividend - Rs 4 Per Share,10,11-Aug-2023,11-Aug-2023,-,-,4
7,BPCL,Bharat Petroleum Corporation Limited,EQ,Annual General Meeting/Dividend - Rs 6 Per Share,10,19-Aug-2022,-,23-Aug-2022,29-Aug-2022,6
8,BPCL,Bharat Petroleum Corporation Limited,EQ,Interim Dividend - Rs 5 Per Share,10,10-Feb-2022,11-Feb-2022,-,-,5
9,BPCL,Bharat Petroleum Corporation Limited,EQ, Interim Dividend - Rs 5 Per Share,10,11-Nov-2021,12-Nov-2021,-,-,5
10,BPCL,Bharat Petroleum Corporation Limited,EQ, Annual General Meeting/Dividend - Rs 23 Per Share/Special Dividend - Rs 35 Per Share,10,16-Sep-2021,-,18-Sep-2021,27-Sep-2021,23
11,BPCL,Bharat Petroleum Corporation Limited,EQ, Interim Dividend - Rs 5 Per Share,10,25-Mar-2021,27-Mar-2021,-,-,5
12,BPCL,Bharat Petroleum Corporation Limited,EQ, Interim Dividend - Rs 16 Per Share,10,17-Feb-2021,19-Feb-2021,-,-,16
14,BPCL,Bharat Petroleum Corporation Limited,EQ, Interim Dividend - Rs 16.50 Per Share,10,23-Mar-2020,24-Mar-2020,-,-,16.50
15,BPCL,Bharat Petroleum Corporation Limited,EQ, Dividend - Rs 8 Per Share,10,21-Aug-2019,-,23-Aug-2019,30-Aug-2019,8
16,BPCL,Bharat Petroleum Corporation Limited,EQ, Interim Dividend Rs - 11 Per Share,10,21-Feb-2019,23-Feb-2019,-,-,11
17,BPCL,Bharat Petroleum Corporation Limited,EQ, Annual General Meeting/Dividend Rs- 7 Per Share,10,31-Aug-2018,-,04-Sep-2018,11-Sep-2018,7
18,BPCL,Bharat Petroleum Corporation Limited,EQ, Interim Dividend - Rs 14 Per Share,10,22-Feb-2018,24-Feb-2018,-,-,14
0,BRITANNIA,Britannia Industries Limited,EQ,Dividend - Rs 75 Per Share,1,04-Aug-2025,04-Aug-2025,-,-,75
1,BRITANNIA,Britannia Industries Limited,EQ,Annual General Meeting/ Dividend - Rs 73.5 Per Share,1,05-Aug-2024,-,06-Aug-2024,12-Aug-2024,73.5
3,BRITANNIA,Britannia Industries Limited,EQ,Interim Dividend - Rs 72 Per Share,1,13-Apr-2023,13-Apr-2023,-,-,72
4,BRITANNIA,Britannia Industries Limited,EQ,Annual General Meeting/Dividend - Rs 56.50 Per Share,1,20-Jun-2022,-,22-Jun-2022,28-Jun-2022,56.50
7,BRITANNIA,Britannia Industries Limited,EQ, Dividend - Rs 12.50 Per Share Pursuant To Scheme,1,25-May-2021,27-May-2021,-,-,12.50
8,BRITANNIA,Britannia Industries Limited,EQ, Interim Dividend - Rs 62 Per Share,1,08-Apr-2021,10-Apr-2021,-,-,62
9,BRITANNIA,Britannia Industries Limited,EQ, Interim Dividend - Rs 83 Per Share,1,26-Aug-2020,27-Aug-2020,-,-,83
11,BRITANNIA,Britannia Industries Limited,EQ, Interim Dividend-Rs 35 Per Share,1,29-Apr-2020,02-May-2020,-,-,35
13,BRITANNIA,Britannia Industries Limited,EQ, Annual General Meeting/ Dividend - Rs 15 Per Share,1,01-Aug-2019,-,03-Aug-2019,09-Aug-2019,15
15,BRITANNIA,Britannia Industries Limited,EQ, Annual General Meeting / Dividend- Rs 25 Per Share,1,27-Jul-2018,-,31-Jul-2018,06-Aug-2018,25
16,BRITANNIA,Britannia Industries Limited,EQ, Annual General Meeting/Dividend - Rs 22/- Per Share,1,28-Jul-2017,-,01-Aug-2017,07-Aug-2017,22
17,BRITANNIA,Britannia Industries Limited,EQ, Annual General Meeting/Dividend Rs 20/- Per Share,1,29-Jul-2016,-,02-Aug-2016,08-Aug-2016,20
18,BRITANNIA,Britannia Industries Limited,EQ,Annual General Meeting/Dividend - Rs 16/- Per Share,1,27-Jul-2015,-,29-Jul-2015,04-Aug-2015,16
19,BRITANNIA,Britannia Industries Limited,EQ,Annual General Meeting / Dividend - Rs 12/- Per Share,1,23-Jul-2014,-,25-Jul-2014,12-Aug-2014,12
0,CIPLA,Cipla Limited,EQ,Dividend - Rs 13 Per Share/Special Dividend - Rs 3 Per Share,2,27-Jun-2025,27-Jun-2025,-,-,13
1,CIPLA,Cipla Limited,EQ,Dividend - Rs 13 Per Share,2,02-Aug-2024,02-Aug-2024,-,-,13
2,CIPLA,Cipla Limited,EQ,Dividend - Rs 8.50 Per Share,2,21-Jul-2023,21-Jul-2023,-,-,8.50
3,CIPLA,Cipla Limited,EQ,Dividend - Rs 5 Per Share,2,08-Aug-2022,10-Aug-2022,-,-,5
4,CIPLA,Cipla Limited,EQ, Annual General Meeting/Dividend - Rs 5 Per Share,2,09-Aug-2021,-,11-Aug-2021,25-Aug-2021,5
6,CIPLA,Cipla Limited,EQ, Interim Dividend - Rs 3 Per Share Special Dividend - Re 1 Per Share,2,19-Mar-2020,20-Mar-2020,-,-,3
7,CIPLA,Cipla Limited,EQ, Annual General Meeting/Dividend - Rs 3 Per Share,2,31-Jul-2019,-,02-Aug-2019,16-Aug-2019,3
8,CIPLA,Cipla Limited,EQ, Annual General Meeting/Dividend- Rs 3 Per Share,2,13-Aug-2018,-,16-Aug-2018,30-Aug-2018,3
9,CIPLA,Cipla Limited,EQ, Annual General Meeting/Dividend - Rs 2/- Per Share,2,26-Jul-2017,-,28-Jul-2017,11-Aug-2017,2
10,CIPLA,Cipla Limited,EQ, Annual General Meeting/Dividend Rs 2/- Per Share,2,12-Sep-2016,-,15-Sep-2016,28-Sep-2016,2
11,CIPLA,Cipla Limited,EQ,Annual General Meeting/Dividend - Rs 2/- Per Share,2,11-Aug-2015,-,13-Aug-2015,27-Aug-2015,2
12,CIPLA,Cipla Limited,EQ,Annual General Meeting/Dividend Rs 2/- Per Equity Share,2,06-Aug-2014,-,08-Aug-2014,22-Aug-2014,2
13,CIPLA,Cipla Limited,EQ,Annual General Meeting/Dividend Rs 2/- Per Equity Share,2,06-Aug-2013,-,08-Aug-2013,22-Aug-2013,2
14,CIPLA,Cipla Limited,EQ,Annual General Meeting And Dividend - Rs.2/- Per Share,2,01-Aug-2012,-,03-Aug-2012,17-Aug-2012,2
15,CIPLA,Cipla Limited,EQ,Annual General Meeting And Dividend Rs.2/- Per Share,2,09-Aug-2011,-,11-Aug-2011,25-Aug-2011,2
16,CIPLA,Cipla Limited,EQ,Special Interim Dividend Re.0.80 Per Share,2,03-Sep-2010,06-Sep-2010,-,-,0.80
17,CIPLA,Cipla Limited,EQ,Annual General Meeting And Dividend Rs.2/- Per Share,2,23-Jul-2010,-,27-Jul-2010,30-Jul-2010,2
18,CIPLA,Cipla Limited,EQ,Agm/Div-Rs.2/- Per Share,2,10-Aug-2009,-,12-Aug-2009,26-Aug-2009,2
19,CIPLA,Cipla Limited,EQ,Dividend - Rs.2 Per Share,2,12-Aug-2008,-,14-Aug-2008,28-Aug-2008,2
0,COALINDIA,Coal India Limited,EQ,Interim Dividend - Rs 10.25 Per Share,10,04-Nov-2025,04-Nov-2025,-,-,10.25
1,COALINDIA,Coal India Limited,EQ,Dividend - Rs 5.15 Per Share,10,21-Aug-2025,21-Aug-2025,-,-,5.15
2,COALINDIA,Coal India Limited,EQ,Interim Dividend - Rs 5.50 Per Share,10,06-Aug-2025,06-Aug-2025,-,-,5.50
3,COALINDIA,Coal India Limited,EQ,Interim Dividend - Rs 5.60 Per Share,10,31-Jan-2025,31-Jan-2025,-,-,5.60
4,COALINDIA,Coal India Limited,EQ,Interim Dividend - Rs 15.75 Per Share,10,05-Nov-2024,05-Nov-2024,-,-,15.75
5,COALINDIA,Coal India Limited,EQ,Dividend - Rs 5 Per Share,10,16-Aug-2024,16-Aug-2024,-,-,5
6,COALINDIA,Coal India Limited,EQ,Interim Dividend - Rs 5.25 Per Share,10,20-Feb-2024,20-Feb-2024,-,-,5.25
7,COALINDIA,Coal India Limited,EQ,Interim Dividend - Rs 15.25 Per Share,10,21-Nov-2023,21-Nov-2023,-,-,15.25
8,COALINDIA,Coal India Limited,EQ,Dividend - Rs 4 Per Share,10,18-Aug-2023,18-Aug-2023,-,-,4
9,COALINDIA,Coal India Limited,EQ,Interim Dividend - Rs 5.25 Per Share,10,08-Feb-2023,08-Feb-2023,-,-,5.25
10,COALINDIA,Coal India Limited,EQ,Interim Dividend - Rs 15 Per Share,10,15-Nov-2022,16-Nov-2022,-,-,15
11,COALINDIA,Coal India Limited,EQ,Dividend - Rs 3 Per Share,10,11-Aug-2022,12-Aug-2022,-,-,3
12,COALINDIA,Coal India Limited,EQ,Interim Dividend - Rs 5 Per Share,10,21-Feb-2022,22-Feb-2022,-,-,5
13,COALINDIA,Coal India Limited,EQ, Interim Dividend - Rs 9 Per Sh,10,06-Dec-2021,07-Dec-2021,-,-,9
14,COALINDIA,Coal India Limited,EQ, Dividend - Rs 3.50 Per Share,10,02-Sep-2021,03-Sep-2021,-,-,3.50
15,COALINDIA,Coal India Limited,EQ, Interim Dividend - Rs 5 Per Share,10,15-Mar-2021,16-Mar-2021,-,-,5
16,COALINDIA,Coal India Limited,EQ, Interim Dividend - Rs 7.50 Per Share,10,19-Nov-2020,20-Nov-2020,-,-,7.50
18,COALINDIA,Coal India Limited,EQ, Interim Dividend - Rs 12 Per Share,10,19-Mar-2020,20-Mar-2020,-,-,12
0,DIVISLAB,Divi's Laboratories Limited,EQ,Dividend - Rs 30 Per Share,2,25-Jul-2025,25-Jul-2025,-,-,30
1,DIVISLAB,Divi's Laboratories Limited,EQ,Dividend - Rs 30 Per Share,2,02-Aug-2024,02-Aug-2024,-,-,30
2,DIVISLAB,Divi's Laboratories Limited,EQ,Dividend - Rs 30 Per Share,2,11-Aug-2023,11-Aug-2023,-,-,30
3,DIVISLAB,Divi's Laboratories Limited,EQ,Dividend - Rs 30 Per Share,2,11-Aug-2022,12-Aug-2022,-,-,30
4,DIVISLAB,Divi's Laboratories Limited,EQ, Dividend - Rs 20 Per Share,2,17-Aug-2021,-,20-Aug-2021,22-Aug-2021,20
6,DIVISLAB,Divi's Laboratories Limited,EQ, Interim Dividend - Rs 16 Per Share,2,25-Feb-2020,26-Feb-2020,-,-,16
7,DIVISLAB,Divi's Laboratories Limited,EQ, Annual General Meeting/Dividend - Rs 16 Per Share,2,14-Aug-2019,-,17-Aug-2019,23-Aug-2019,16
8,DIVISLAB,Divi's Laboratories Limited,EQ, Annual General Meeting/Dividend- Rs 10 Per Share,2,31-Aug-2018,-,04-Sep-2018,10-Sep-2018,10
9,DIVISLAB,Divi's Laboratories Limited,EQ, Annual General Meeting/Dividend - Rs 10/- Per Share,2,15-Sep-2017,-,19-Sep-2017,25-Sep-2017,10
11,DIVISLAB,Divi's Laboratories Limited,EQ, Interim Dividend - Rs 10/- Per Share (Purpose Revised),2,17-Mar-2016,18-Mar-2016,-,-,10
13,DIVISLAB,Divi's Laboratories Limited,EQ,Annual General Meeting/Dividend - Rs 20/- Per Share,2,06-Aug-2015,-,10-Aug-2015,14-Aug-2015,20
14,DIVISLAB,Divi's Laboratories Limited,EQ,Annual General Meeting / Dividend - Rs 20/- Per Share,2,31-Jul-2014,-,04-Aug-2014,08-Aug-2014,20
15,DIVISLAB,Divi's Laboratories Limited,EQ,Annual General Meeting/Dividend Rs 15/- Per Share,2,25-Jul-2013,-,29-Jul-2013,02-Aug-2013,15
16,DIVISLAB,Divi's Laboratories Limited,EQ,Annual General Meeting/ Dividend Of Rs. 13 Per Share,2,26-Jul-2012,-,30-Jul-2012,03-Aug-2012,13
17,DIVISLAB,Divi's Laboratories Limited,EQ,Annual General Meeting And Dividend Rs.10/- Per Share,2,16-Jun-2011,-,18-Jun-2011,24-Jun-2011,10
18,DIVISLAB,Divi's Laboratories Limited,EQ,Annual General Meeting And Dividend Rs.6/- Per Share,2,02-Jul-2010,-,06-Jul-2010,10-Jul-2010,6
0,DRREDDY,Dr. Reddy's Laboratories Limited,EQ,Dividend - Rs 8 Per Share,1,10-Jul-2025,10-Jul-2025,-,-,8
2,DRREDDY,Dr. Reddy's Laboratories Limited,EQ,Annual General Meeting/Dividend - Rs 40 Per Share,1,16-Jul-2024,-,17-Jul-2024,19-Jul-2024,40
3,DRREDDY,Dr. Reddy's Laboratories Limited,EQ,Annual General Meeting/Dividend - Rs 40 Per Share,1,11-Jul-2023,-,12-Jul-2023,14-Jul-2023,40
4,DRREDDY,Dr. Reddy's Laboratories Limited,EQ,Annual General Meeting/Dividend - Rs 30 Per Share,1,11-Jul-2022,-,13-Jul-2022,15-Jul-2022,30
5,DRREDDY,Dr. Reddy's Laboratories Limited,EQ, Annual General Meeting/Dividend - Rs 25 Per Share,1,09-Jul-2021,-,13-Jul-2021,15-Jul-2021,25
6,DRREDDY,Dr. Reddy's Laboratories Limited,EQ, Annual General Meeting/Dividend - Rs 25 Per Share,1,13-Jul-2020,-,15-Jul-2020,17-Jul-2020,25
7,DRREDDY,Dr. Reddy's Laboratories Limited,EQ, Annual General Meeting/Dividend - Rs 20 Per Share,1,15-Jul-2019,-,17-Jul-2019,19-Jul-2019,20
8,DRREDDY,Dr. Reddy's Laboratories Limited,EQ, Annual General Meeting/Dividend- Rs 20 Per Share,1,16-Jul-2018,-,18-Jul-2018,20-Jul-2018,20
9,DRREDDY,Dr. Reddy's Laboratories Limited,EQ, Annual General Meeting/Dividend - Rs 20/- Per Share,1,17-Jul-2017,-,19-Jul-2017,21-Jul-2017,20
10,DRREDDY,Dr. Reddy's Laboratories Limited,EQ, Annual General Meeting/ Dividend - Rs 20/- Per Share,1,18-Jul-2016,-,20-Jul-2016,22-Jul-2016,20
11,DRREDDY,Dr. Reddy's Laboratories Limited,EQ,Annual General Meeting/Dividend Rs 20/- Per Share,1,10-Jul-2015,-,14-Jul-2015,17-Jul-2015,20
12,DRREDDY,Dr. Reddy's Laboratories Limited,EQ,Annual General Meeting / Final Dividend - Rs 18/- Per Share,1,11-Jul-2014,-,15-Jul-2014,18-Jul-2014,18
13,DRREDDY,Dr. Reddy's Laboratories Limited,EQ,Annual General Meeting And Dividend Rs.15/- Per Share,1,12-Jul-2013,-,16-Jul-2013,19-Jul-2013,15
14,DRREDDY,Dr. Reddy's Laboratories Limited,EQ,Annual General Meeting And Dividend - Rs.13.75 Per Share,1,28-Jun-2012,-,03-Jul-2012,06-Jul-2012,13.75
15,DRREDDY,Dr. Reddy's Laboratories Limited,EQ,Annual General Meeting And Dividend Rs.11.25 Per Share,1,30-Jun-2011,-,05-Jul-2011,09-Jul-2011,11.25
17,DRREDDY,Dr. Reddy's Laboratories Limited,EQ,Annual General Meeting And Final Dividend Rs.11.25 Per Share,1,02-Jul-2010,-,06-Jul-2010,10-Jul-2010,11.25
18,DRREDDY,Dr. Reddy's Laboratories Limited,EQ,Agm/Div-Rs.6.25 Per Share,1,03-Jul-2009,-,07-Jul-2009,11-Jul-2009,6.25
19,DRREDDY,Dr. Reddy's Laboratories Limited,EQ,Agm/Dividend - 75%,1,04-Jul-2008,-,08-Jul-2008,12-Jul-2008,
0,EICHERMOT,Eicher Motors Limited,EQ,Dividend - Rs 70 Per Share,1,01-Aug-2025,01-Aug-2025,-,-,70
1,EICHERMOT,Eicher Motors Limited,EQ,Dividend - Rs 51 Per Share,1,07-Aug-2024,07-Aug-2024,-,-,51
2,EICHERMOT,Eicher Motors Limited,EQ,Annual General Meeting/Dividend - Rs  37 Per Share,1,14-Aug-2023,-,17-Aug-2023,23-Aug-2023,37
3,EICHERMOT,Eicher Motors Limited,EQ,Annual General Meeting/Dividend - Rs 21 Per Share,1,12-Aug-2022,-,18-Aug-2022,24-Aug-2022,21
4,EICHERMOT,Eicher Motors Limited,EQ, Annual General Meeting/Dividend - Rs 17 Per Share,1,09-Aug-2021,-,11-Aug-2021,17-Aug-2021,17
6,EICHERMOT,Eicher Motors Limited,EQ, Interim Dividend - Rs 125 Per Share,1,19-Mar-2020,21-Mar-2020,-,-,125
7,EICHERMOT,Eicher Motors Limited,EQ, Annual General Meeting/ Dividend - Rs 125 Per Share,1,24-Jul-2019,-,26-Jul-2019,01-Aug-2019,125
8,EICHERMOT,Eicher Motors Limited,EQ, Annual General Meeting / Dividend- Rs 110 Per Share,1,02-Aug-2018,-,04-Aug-2018,10-Aug-2018,110
9,EICHERMOT,Eicher Motors Limited,EQ, Annual General Meeting/Dividend - Rs 100/- Per Share,1,31-Jul-2017,-,02-Aug-2017,08-Aug-2017,100
10,EICHERMOT,Eicher Motors Limited,EQ, Interim Dividend - Rs 100/- Per Share,1,22-Mar-2016,23-Mar-2016,-,-,100
11,EICHERMOT,Eicher Motors Limited,EQ,Annual General Meeting / Dividend - Rs 50/- Per Share (Agm And Book Closure Dates Revised),1,11-Mar-2015,-,13-Mar-2015,20-Mar-2015,50
12,EICHERMOT,Eicher Motors Limited,EQ,Annual General Meeting/Dividend Rs 30/- Per Share,1,12-Mar-2014,-,14-Mar-2014,21-Mar-2014,30
13,EICHERMOT,Eicher Motors Limited,EQ,Annual General Meeting/Dividend Rs 20 Per Share,1,13-Mar-2013,-,15-Mar-2013,22-Mar-2013,20
14,EICHERMOT,Eicher Motors Limited,EQ,Dividend-Rs.16 Per Share,1,13-Mar-2012,-,15-Mar-2012,22-Mar-2012,16
15,EICHERMOT,Eicher Motors Limited,EQ,Dividend-Rs.11/- Per Share,1,08-Mar-2011,-,10-Mar-2011,18-Mar-2011,11
16,EICHERMOT,Eicher Motors Limited,EQ,Dividend-Rs.7/- Per Share,1,05-Mar-2010,-,09-Mar-2010,15-Mar-2010,7
17,EICHERMOT,Eicher Motors Limited,EQ,Agm/Dividend - 50%,1,20-May-2009,-,22-May-2009,29-May-2009,
18,EICHERMOT,Eicher Motors Limited,EQ,Agm/Dividend - 50%,1,26-May-2008,-,28-May-2008,04-Jun-2008,
0,GAIL,GAIL (India) Limited,EQ,Dividend - Re 1 Per Share,10,04-Aug-2025,04-Aug-2025,-,-,1
1,GAIL,GAIL (India) Limited,EQ,Interim Dividend - Rs 6.50 Per Share,10,07-Feb-2025,07-Feb-2025,-,-,6.50
2,GAIL,GAIL (India) Limited,EQ,Interim Dividend - Rs 5.50 Per Share,10,06-Feb-2024,06-Feb-2024,-,-,5.50
3,GAIL,GAIL (India) Limited,EQ,Interim Dividend - Rs 4 Per Share,10,21-Mar-2023,21-Mar-2023,-,-,4
5,GAIL,GAIL (India) Limited,EQ,Dividend - Rs 1 Per Share,10,01-Aug-2022,02-Aug-2022,-,-,1
7,GAIL,GAIL (India) Limited,EQ,Interim Dividend - Rs 5  Per Share,10,21-Mar-2022,22-Mar-2022,-,-,5
8,GAIL,GAIL (India) Limited,EQ,Interim Dividend - Rs 4 Per Share,10,30-Dec-2021,31-Dec-2021,-,-,4
9,GAIL,GAIL (India) Limited,EQ, Interim Dividend - Rs 2.5 Per Share,10,22-Mar-2021,23-Mar-2021,-,-,2.5
10,GAIL,GAIL (India) Limited,EQ, Interim Dividend - Rs 2.50 Per Share,10,27-Jan-2021,28-Jan-2021,-,-,2.50
12,GAIL,GAIL (India) Limited,EQ, Interim Dividend - Rs 6.4 Per Share,10,17-Feb-2020,18-Feb-2020,-,-,6.4
13,GAIL,GAIL (India) Limited,EQ, Dividend - Rs 0.885 Per Share,10,08-Aug-2019,-,13-Aug-2019,20-Aug-2019,0.885
