,SYMBOL,COMPANY NAME,SERIES,PURPOSE,FACE VALUE,EX-DATE,RECORD DATE,BOOK CLOSURE START DATE,BOOK CLOSURE END DATE,payout_per_s
8,AMBUJACEM,Ambuja Cements Limited,EQ, Dividend - Rs 1.50 Per Share,2,27-Feb-2019,-,01-Mar-2019,08-Mar-2019,1.50
9,AMBUJACEM,Ambuja Cements Limited,EQ, Dividend - Rs 2 Per Share,2,05-Apr-2018,-,09-Apr-2018,13-Apr-2018,2
10,AMBUJACEM,Ambuja Cements Limited,EQ, Interim Dividend - Rs 1.60 Per Share,2,02-Aug-2017,03-Aug-2017,-,-,1.60
11,AMBUJACEM,Ambuja Cements Limited,EQ, Dividend - Rs 1.20 Per Share,2,16-Mar-2017,-,20-Mar-2017,24-Mar-2017,1.20
12,AMBUJACEM,Ambuja Cements Limited,EQ, Interim Dividend - Rs 1.60/- Per Share (Purpose Revised),2,02-Aug-2016,03-Aug-2016,-,-,1.60
13,AMBUJACEM,Ambuja Cements Limited,EQ, Final Dividend - Rs 1.20/- Per Share,2,22-Feb-2016,-,24-Feb-2016,29-Feb-2016,1.20
14,AMBUJACEM,Ambuja Cements Limited,EQ,Interim Dividend - Rs 1.60/- Per Share (Purpose Revised),2,31-Jul-2015,03-Aug-2015,-,-,1.60
15,AMBUJACEM,Ambuja Cements Limited,EQ,Annual General Meeting / Final Dividend - Rs 3.20/- Per Share,2,02-Mar-2015,-,04-Mar-2015,11-Mar-2015,3.20
16,AMBUJACEM,Ambuja Cements Limited,EQ,Interim Dividend - Rs 1.80/- Per Share (Purpose Revised),2,30-Jul-2014,31-Jul-2014,-,-,1.80
17,AMBUJACEM,Ambuja Cements Limited,EQ,Final Dividend Rs.2.20/- Per Share (Purpose Revised),2,12-Feb-2014,-,14-Feb-2014,21-Feb-2014,2.20
18,AMBUJACEM,Ambuja Cements Limited,EQ,Interim Dividend Rs.1.40 Per Share (Purpose Revised),2,30-Jul-2013,31-Jul-2013,-,-,1.40
19,AMBUJACEM,Ambuja Cements Limited,EQ,Dividend Rs 2.20 Per Sahre,2,18-Feb-2013,-,21-Feb-2013,28-Feb-2013,2.20
0,APOLLOHOSP,Apollo Hospitals Enterprise Limited,EQ,Dividend - Rs 10 Per Share,5,19-Aug-2025,19-Aug-2025,-,-,10
1,APOLLOHOSP,Apollo Hospitals Enterprise Limited,EQ,Interim Dividend - Rs 9 Per Share,5,14-Feb-2025,15-Feb-2025,-,-,9
2,APOLLOHOSP,Apollo Hospitals Enterprise Limited,EQ,Annual General Meeting/Dividend - Rs 10 Per Share,5,16-Aug-2024,17-Aug-2024,-,-,10
