"COMPANY","PROMOTER & PROMOTER GROUP (A)","PUBLIC (B)","SHARES HELD BY EMPLOYEE TRUSTS (C2)","STATUS","AS ON DATE","SUBMISSION DATE","REVISION DATE","ACTION","BROADCAST DATE/TIME","EXCHANGE DISSEMINATION TIME","TIME TAKEN"
"Bharat Petroleum Corporation Limited","52.98","47.02","0","-","31-DEC-2019",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_145006_204007_17012020103820_WEB.xml","17-JAN-2020 10:40:03",,"::"
"Bharat Petroleum Corporation Limited","53.29","46.71","0","-","30-SEP-2019",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_142439_152752_18102019111358_WEB.xml","18-OCT-2019 11:40:03",,"::"
"Bharat Petroleum Corporation Limited","53.29","46.71","0","-","30-JUN-2019",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_139844_121928_19072019071112_WEB.xml","19-JUL-2019 19:40:15",,"::"
"Bharat Petroleum Corporation Limited","53.29","46.71","0","-","31-MAR-2019",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_136825_95349_16042019044815_WEB.xml","16-APR-2019 17:10:10",,"::"
"Bharat Petroleum Corporation Limited","53.93","46.07","0","-","31-DEC-2018",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_134162_74508_18012019011309_WEB.xml","18-JAN-2019 13:40:08",,"::"
"Bharat Petroleum Corporation Limited","53.93","46.07","0","-","30-SEP-2018",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_132005_53318_19102018072251_WEB.xml","19-OCT-2018 19:40:16",,"::"
"Bharat Petroleum Corporation Limited","53.89","46.11","0","-","30-JUN-2018",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_128566_26038_18072018055449_WEB.xml","18-JUL-2018 18:10:12",,"::"
"Bharat Petroleum Corporation Limited","54.31","45.69","0","-","31-MAR-2018",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_WEB_5718_19042018025037.xml","19-APR-2018 15:10:11",,"::"
"Bharat Petroleum Corporation Limited","54.31","45.69","0","-","31-DEC-2017",,,"https://nsearchives.nseindia.com/corporate/xbrl/-","19-JAN-2018 18:40:02",,"::"
"Bharat Petroleum Corporation Limited","54.93","45.07","0","-","30-SEP-2017",,,"https://nsearchives.nseindia.com/corporate/xbrl/-","16-OCT-2017 17:40:02",,"::"
"Bharat Petroleum Corporation Limited","54.93","45.07","0","-","17-JUL-2017",,,"https://nsearchives.nseindia.com/corporate/xbrl/-","20-JUL-2017 15:10:01",,"::"
"Bharat Petroleum Corporation Limited","54.93","45.07","0","-","30-JUN-2017",,,"https://nsearchives.nseindia.com/corporate/xbrl/-","20-JUL-2017 12:40:01",,"::"
"Bharat Petroleum Corporation Limited","54.93","45.07","0","-","31-MAR-2017",,,"https://nsearchives.nseindia.com/corporate/xbrl/-","17-APR-2017 15:10:01",,"::"
"Bharat Petroleum Corporation Limited","54.93","45.07","0","-","31-DEC-2016",,,"https://nsearchives.nseindia.com/corporate/xbrl/-","18-JAN-2017 13:10:02",,"::"
"Bharat Petroleum Corporation Limited","54.93","45.07","0","-","30-SEP-2016",,,"https://nsearchives.nseindia.com/corporate/xbrl/-","20-OCT-2016 17:10:01",,"::"
"Bharat Petroleum Corporation Limited","54.93","45.07","0","-","30-JUN-2016",,,"https://nsearchives.nseindia.com/corporate/xbrl/-","12-JUL-2016 15:10:01",,"::"
"Bharat Petroleum Corporation Limited","54.93","45.07","0","-","31-MAR-2016",,,"https://nsearchives.nseindia.com/corporate/xbrl/-","20-APR-2016 17:15:02",,"::"
"Bharat Petroleum Corporation Limited","54.93","45.07","0","-","31-DEC-2015",,,"https://nsearchives.nseindia.com/corporate/xbrl/-","20-JAN-2016 17:15:01",,"::"
"Bharat Petroleum Corporation Limited","0","0","0",,"30-SEP-2015",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Bharat Petroleum Corporation Limited","0","0","0",,"30-JUN-2015",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Bharat Petroleum Corporation Limited","0","0","0",,"31-MAR-2015",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Bharat Petroleum Corporation Limited","0","0","0",,"31-DEC-2014",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Bharat Petroleum Corporation Limited","0","0","0",,"30-SEP-2014",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Bharat Petroleum Corporation Limited","0","0","0",,"30-JUN-2014",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Bharat Petroleum Corporation Limited","0","0","0",,"31-MAR-2014",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Bharat Petroleum Corporation Limited","0","0","0",,"31-DEC-2013",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Bharat Petroleum Corporation Limited","0","0","0",,"30-SEP-2013",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Bharat Petroleum Corporation Limited","0","0","0",,"30-JUN-2013",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Bharat Petroleum Corporation Limited","0","0","0",,"31-MAR-2013",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Bharat Petroleum Corporation Limited","0","0","0",,"31-DEC-2012",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Bharat Petroleum Corporation Limited","0","0","0",,"30-SEP-2012",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Bharat Petroleum Corporation Limited","0","0","0",,"30-JUN-2012",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Bharat Petroleum Corporation Limited","0","0","0",,"31-MAR-2012",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Bharat Petroleum Corporation Limited","0","0","0",,"31-DEC-2011",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Bharat Petroleum Corporation Limited","0","0","0",,"30-SEP-2011",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Bharat Petroleum Corporation Limited","0","0","0",,"30-JUN-2011",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Bharat Petroleum Corporation Limited","0","0","0",,"31-MAR-2011",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Bharat Petroleum Corporation Limited","0","0","0",,"31-DEC-2010",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Bharat Petroleum Corporation Limited","0","0","0",,"30-SEP-2010",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Bharat Petroleum Corporation Limited","0","0","0",,"30-JUN-2010",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Bharat Petroleum Corporation Limited","0","0","0",,"31-MAR-2010",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Bharat Petroleum Corporation Limited","0","0","0",,"31-DEC-2009",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Bharat Petroleum Corporation Limited","0","0","0",,"30-SEP-2009",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Bharat Petroleum Corporation Limited","0","0","0",,"30-JUN-2009",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Bharat Petroleum Corporation Limited","0","0","0",,"31-MAR-2009",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Bharat Petroleum Corpn. Ltd","0","0","0",,"31-DEC-2008",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Bharat Petroleum Corpn. Ltd","0","0","0",,"30-SEP-2008",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Bharat Petroleum Corpn. Ltd","0","0","0",,"30-SEP-2008",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
