"COMPANY","PROMOTER & PROMOTER GROUP (A)","PUBLIC (B)","SHARES HELD BY EMPLOYEE TRUSTS (C2)","STATUS","AS ON DATE","SUBMISSION DATE","REVISION DATE","ACTION","BROADCAST DATE/TIME","EXCHANGE DISSEMINATION TIME","TIME TAKEN"
"Vedanta Limited","50.14","49.62","0.25","-","30-JUN-2018",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_128598_26264_19072018110926_WEB.xml","19-JUL-2018 11:10:08",,"::"
"Vedanta Limited","50.14","49.62","0.25","-","31-MAR-2018",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_WEB_6797_21042018010914.xml","21-APR-2018 13:10:07",,"::"
"Vedanta Limited","50.14","49.61","0.25","-","31-DEC-2017",,,"https://nsearchives.nseindia.com/corporate/xbrl/-","20-JAN-2018 14:40:04",,"::"
"Vedanta Limited","50.23","49.49","0.28","-","30-SEP-2017",,,"https://nsearchives.nseindia.com/corporate/xbrl/-","18-OCT-2017 17:10:03",,"::"
"Vedanta Limited","50.14","49.76","0.11","-","30-JUN-2017",,,"https://nsearchives.nseindia.com/corporate/xbrl/-","21-JUL-2017 11:40:02",,"::"
"Vedanta Limited","50.14","49.75","0.11","-","28-APR-2017",,,"https://nsearchives.nseindia.com/corporate/xbrl/-","10-MAY-2017 18:10:01",,"::"
"Vedanta Limited","62.86","37","0.13","-","31-MAR-2017",,,"https://nsearchives.nseindia.com/corporate/xbrl/-","19-APR-2017 21:10:02",,"::"
"Vedanta Limited","62.86","37.14","0","-","31-DEC-2016",,,"https://nsearchives.nseindia.com/corporate/xbrl/-","18-JAN-2017 16:10:02",,"::"
"Vedanta Limited","62.86","37.14","0","-","30-SEP-2016",,,"https://nsearchives.nseindia.com/corporate/xbrl/-","20-OCT-2016 16:10:01",,"::"
"Vedanta Limited","62.86","37.14","0","-","30-JUN-2016",,,"https://nsearchives.nseindia.com/corporate/xbrl/-","20-JUL-2016 21:10:02",,"::"
"Vedanta Limited","62.87","37.13","0","-","31-MAR-2016",,,"https://nsearchives.nseindia.com/corporate/xbrl/-","22-APR-2016 17:15:01",,"::"
"Vedanta Limited","62.87","37.13","0","-","31-DEC-2015",,,"https://nsearchives.nseindia.com/corporate/xbrl/-","25-JAN-2016 17:15:02",,"::"
"Vedanta Limited","0","0","0",,"30-SEP-2015",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Vedanta Limited","0","0","0",,"30-JUN-2015",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Sesa Sterlite Limited","0","0","0",,"31-MAR-2015",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Sesa Sterlite Limited","0","0","0",,"31-DEC-2014",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Sesa Sterlite Limited","0","0","0",,"30-SEP-2014",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Sesa Sterlite Limited","0","0","0",,"30-JUN-2014",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Sesa Sterlite Limited","0","0","0",,"31-MAR-2014",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Sesa Sterlite Limited","0","0","0",,"31-DEC-2013",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Sesa Sterlite Limited","0","0","0",,"30-SEP-2013",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Sesa Goa Limited","0","0","0",,"29-AUG-2013",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Sesa Goa Limited","0","0","0",,"30-JUN-2013",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Sesa Goa Limited","0","0","0",,"31-MAR-2013",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Sesa Goa Limited","0","0","0",,"31-DEC-2012",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Sesa Goa Limited","0","0","0",,"30-SEP-2012",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Sesa Goa Limited","0","0","0",,"30-JUN-2012",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Sesa Goa Limited","0","0","0",,"31-MAR-2012",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Sesa Goa Limited","0","0","0",,"31-DEC-2011",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Sesa Goa Limited","0","0","0",,"30-SEP-2011",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Sesa Goa Limited","0","0","0",,"30-JUN-2011",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Sesa Goa Limited","0","0","0",,"31-MAR-2011",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Sesa Goa Limited","0","0","0",,"31-DEC-2010",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Sesa Goa Limited","0","0","0",,"30-SEP-2010",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Sesa Goa Limited","0","0","0",,"30-JUN-2010",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Sesa Goa Limited","0","0","0",,"31-MAR-2010",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Sesa Goa Limited","0","0","0",,"31-DEC-2009",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Sesa Goa Limited","0","0","0",,"30-SEP-2009",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Sesa Goa Limited","0","0","0",,"30-JUN-2009",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Sesa Goa Limited","0","0","0",,"31-MAR-2009",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Sesa Goa Ltd.","0","0","0",,"31-DEC-2008",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Sesa Goa Ltd.","0","0","0",,"30-SEP-2008",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Sesa Goa Ltd.","0","0","0",,"30-JUN-2008",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Sesa Goa Ltd.","0","0","0",,"31-MAR-2008",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Sesa Goa Ltd.","0","0","0",,"31-DEC-2007",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
